Team,Player  ,Pos. ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,FANTASY_POINTS
ADE,"Laird, Rory",MID,14.27272727,3.727272727,17.72727273,0.136363636,0.363636364,0,5.909090909,1.727272727,1.5,
ADE,"Keays, Ben",MID,15.90909091,3.727272727,12.22727273,0.545454545,0.363636364,0,6.045454545,1.181818182,1.5,
ADE,"Seedsman, Paul",MID,15.77272727,5.363636364,10.31818182,0.545454545,0.590909091,0,2.318181818,0.818181818,0.818181818,
ADE,"Smith, Brodie",MID,15.09090909,4.863636364,4.590909091,0.090909091,0.181818182,0,1.727272727,0.409090909,0.363636364,
ADE,"Schoenberg, Harry",MID,10.45454545,2.818181818,7.954545455,0.454545455,0.409090909,0,3.590909091,0.727272727,1.454545455,
ADE,"Sloane, Rory",MID,9,3.045454545,9.272727273,0.136363636,0.090909091,0,3.954545455,1.090909091,0.772727273,
ADE,"Doedee, Tom",DEF,9.227272727,4.545454545,6.590909091,0.045454545,0.045454545,0,2.136363636,0.863636364,1,
ADE,"Sholl, Lachlan",FWD,9.454545455,3.545454545,5.727272727,0.136363636,0.318181818,0,0.954545455,0.318181818,0.227272727,
ADE,"Kelly, Jake",DEF,9.727272727,4.636363636,4.318181818,0,0,0,1.909090909,0.954545455,0.772727273,
ADE,"OBrien, Reilly",RUC,6.272727273,3.227272727,7.090909091,0.090909091,0,26.59090909,2.5,1.136363636,0.909090909,
ADE,"McHenry, Ned",FWD,5.454545455,2.454545455,6.272727273,0.5,0.318181818,0,2.954545455,0.954545455,1.681818182,
ADE,"McPherson, Andrew",FWD,7.090909091,2.454545455,4,0,0,0,1.318181818,0.363636364,0.318181818,
ADE,"Rowe, James",FWD,5.590909091,1.863636364,5.363636364,0.681818182,0.5,0,1.590909091,0.818181818,0.409090909,
ADE,"Butts, Jordon",DEF,6.863636364,3.818181818,3.636363636,0,0,0,1.363636364,1.045454545,0.772727273,
ADE,"Walker, Taylor",FWD,7.045454545,4.090909091,3.272727273,2.181818182,1.318181818,1.818181818,1.045454545,0.909090909,0.954545455,
ADE,"Lynch, Tom",FWD,5.863636364,2.909090909,3.909090909,0.363636364,0.409090909,0,0.681818182,0.590909091,0.363636364,
ADE,"Jones, Chayce",FWD,5.818181818,1.954545455,2.636363636,0.045454545,0.136363636,0,0.863636364,0.272727273,0.681818182,
ADE,"Murphy, Lachlan",FWD,4.545454545,1.136363636,3.454545455,0.409090909,0.681818182,0,1.545454545,1,0.409090909,
ADE,"Hamill, Will",DEF,4.272727273,1.227272727,3.590909091,0,0,0,1.590909091,0.818181818,0.363636364,
ADE,"Berry, Sam",MID,2.727272727,1.227272727,4.272727273,0.227272727,0.409090909,0,3.136363636,0.545454545,0.772727273,
ADE,"Thilthorpe, Riley",FWD,4.272727273,2,2.636363636,0.818181818,0.454545455,1.136363636,0.863636364,0.454545455,0.636363636,
ADE,"Brown, Luke",DEF,4.5,1.772727273,1.954545455,0,0,0,1.181818182,0.363636364,0.090909091,
ADE,"Fogarty, Darcy",FWD,4.318181818,2.409090909,1.909090909,1.090909091,0.545454545,0.045454545,0.954545455,0.863636364,0.727272727,
ADE,"McAdam, Shane",FWD,3.590909091,2.545454545,2.181818182,1.136363636,0.5,0,1.545454545,0.636363636,0.954545455,
ADE,"Frampton, Billy",FWD,2.909090909,2.272727273,1.5,0.090909091,0.5,1.090909091,0.363636364,0.181818182,0.318181818,
ADE,"Murray, Nick",DEF,3.181818182,1.318181818,0.909090909,0.045454545,0.045454545,0.045454545,0.818181818,0.590909091,0.454545455,
