Touk Miller,GCS,MID,122.1,1
Jack Steele,STK,MID,121.4,2
Jarryd Lyons,BRL,MID,117.1,3
Jack Macrae,WBD,MID,115.9,4
Tom Mitchell,HAW,MID,115.6,5
Ollie Wines,PTA,MID,111.9,6
Rory Laird,ADE,MID,111.7,7
Christian Petracca,MEL,MID,110.9,8
Zach Merrett,ESS,MID,110.3,9
Callum Mills,SYD,MID,110,10
Cameron Guthrie,GEE,MID,109.9,11
Aaron Hall,NTH,DEF,109,12
Sam Walsh,CAR,MID,109,13
Dayne Zorko,BRL,MID,108.9,14
Clayton Oliver,MEL,MID,108.7,15
Max Gawn,MEL,RUC,108.6,16
Ben Keays,ADE,MID,108,17
Marcus Bontempelli,WBD,MID,107.9,18
Tim Taranto,GWS,MID/FWD,107.8,19
Brodie Grundy,COL,RUC,106.5,20
Darcy Parish,ESS,MID,105.5,21
Brayden Fiorini,GCS,MID,105.3,22
Andrew Brayshaw,FRE,MID,104.3,23
Josh Kelly,GWS,MID,103.7,24
Jack Crisp,COL,DEF/MID,101.8,25
Taylor Adams,COL,MID,100.9,26
Mitch Duncan,GEE,MID/FWD,100.3,27
Jack Ziebell,NTH,DEF,100.1,28
Hugh McCluggage,BRL,MID,100,29
Luke Parker,SYD,MID,99.3,30
Ben Cunnington,NTH,MID,99.2,31
Karl Amon,PTA,MID,98.7,32
Sam Docherty,CAR,DEF,98.6,33
Jake Lloyd,SYD,DEF,98.2,34
Daniel Rich,BRL,DEF,98.1,35
Travis Boak,PTA,MID,97.7,36
Andrew Gaff,WCE,MID,97.2,37
Tom Stewart,GEE,DEF,96.8,38
Jaeger O'Meara,HAW,MID,95.9,39
Paul Seedsman,ADE,MID,95.6,40
Jy Simpkin,NTH,MID,95.5,41
Brad Crouch,STK,MID,95.2,42
Dyson Heppell,ESS,DEF,94.8,43
Lachie Whitfield,GWS,DEF/MID,94.8,44
Luke Dunstan,MEL,MID,94.6,45
Lachie Neale,BRL,MID,94.5,46
Brandon Ellis,GCS,MID,93.8,47
Jack Redden,WCE,MID,93.7,48
Sean Darcy,FRE,RUC,93.7,49
Jayden Short,RIC,DEF,93.4,50
Isaac Smith,GEE,MID,93,51
Christian Salem,MEL,DEF,92.9,52
Josh Dunkley,WBD,MID/FWD,91.5,53
Dom Sheed,WCE,MID,91.4,54
Tom Liberatore,WBD,MID,90.3,55
Rowan Marshall,STK,RUC,89.7,56
David Swallow,GCS,MID,89.5,57
David Mundy,FRE,MID,89,58
Ed Curnow,CAR,MID,89,59
Jacob Hopper,GWS,MID,88.9,60
Josh P. Kennedy,SYD,MID,88.9,61
Jordan Dawson,ADE,DEF,88.8,62
Zak Jones,STK,MID,88.6,63
Steele Sidebottom,COL,MID/FWD,88.4,64
Chad Wingard,HAW,MID/FWD,88.3,65
Jack Viney,MEL,MID,88.2,66
Alex Witherden,WCE,DEF,87.8,67
Shannon Hurn,WCE,DEF,87.8,68
Hugh Greenwood,NTH,MID,87.7,69
Luke Shuey,WCE,MID,87.6,70
Joel Selwood,GEE,MID,87.5,71
Bailey Smith,WBD,MID,87.4,72
Luke Ryan,FRE,DEF,87.4,73
Adam Cerra,CAR,MID,87.3,74
Adam Treloar,WBD,MID/FWD,87.2,75
Caleb Daniel,WBD,DEF,86.9,76
Patrick Dangerfield,GEE,MID,86.8,77
Kyle Langford,ESS,MID,86.6,78
Sam Menegola,GEE,MID,86.6,79
Nic Newman,CAR,DEF,86.4,80
Jarrod Witts,GCS,RUC,86.3,81
Reilly O'Brien,ADE,RUC,86.2,82
Isaac Cumming,GWS,DEF,86.1,83
Jack Lukosius,GCS,DEF/MID,86,84
Matthew Kennedy,CAR,MID,85.9,85
Todd Goldstein,NTH,RUC,85.8,86
Jarman Impey,HAW,DEF,85.7,87
Rory Sloane,ADE,MID,85.6,88
Scott Lycett,PTA,RUC,85.6,89
Harry Perryman,GWS,DEF,85.4,90
Lachie Hunter,WBD,MID,85.2,91
Ed Langdon,MEL,MID,85.1,92
Nic Naitanui,WCE,RUC,85,93
Jaidyn Stephenson,NTH,FWD,84.8,94
Toby Greene,GWS,FWD,84.8,95
Andrew McGrath,ESS,MID,84.6,96
Nat Fyfe,FRE,MID,84.5,97
Nick Hind,ESS,DEF,84.5,98
Scott Pendlebury,COL,MID,84.4,99
Jordan De Goey,COL,MID/FWD,84.3,100
Tim Kelly,WCE,MID,84.3,101
Liam Shiels,HAW,MID,84.2,102
Zach Tuohy,GEE,DEF/MID,83.9,103
Callan Ward,GWS,MID,83.8,104
Bailey Dale,WBD,DEF,83.5,105
Toby Nankervis,RIC,RUC,83.4,106
Jack Billings,STK,MID,83.3,107
Elliot Yeo,WCE,MID,83,108
Caleb Serong,FRE,MID,82.4,109
James Harmes,MEL,MID,82.3,110
Tom Hickey,SYD,RUC,82.3,111
Patrick Cripps,CAR,MID,81.8,112
Luke Davies-Uniacke,NTH,MID,81.6,113
Brayden Maynard,COL,DEF,81.5,114
Blake Hardwick,HAW,DEF,81.4,115
Dustin Martin,RIC,MID/FWD,81.3,116
Tarryn Thomas,NTH,MID/FWD,81.2,117
Dion Prestia,RIC,MID,81.1,118
Noah Anderson,GCS,MID,81,119
Jack Bowes,GCS,DEF,80.6,120
Jake Stringer,ESS,MID/FWD,80.5,121
Tim English,WBD,RUC/FWD,80.3,122
Ben McEvoy,HAW,RUC/FWD,80,123
Jordan Ridley,ESS,DEF,80,124
Dan Houston,PTA,DEF,79.9,125
Jack Scrimshaw,HAW,DEF,79.8,126
Lachie Weller,GCS,MID/FWD,79.8,127
Sebastian Ross,STK,MID,79.8,128
Jed Anderson,NTH,MID/FWD,79.7,129
Brodie Smith,ADE,DEF,79.6,130
Jack Sinclair,STK,DEF,79.3,131
Daniel Howe,HAW,MID,79.1,132
Shaun Higgins,GEE,FWD,78.9,133
James Worpel,HAW,MID,78.8,134
Liam Duggan,WCE,DEF/MID,78.5,135
Jack Graham,RIC,MID/FWD,78.4,136
Will Snelling,ESS,FWD,78.2,137
Lachie Ash,GWS,DEF/MID,77.8,138
Shai Bolton,RIC,MID/FWD,77.7,139
Rhys Stanley,GEE,RUC,77.6,140
Kane Lambert,RIC,FWD,77.2,141
Tim Membrey,STK,FWD,77.2,142
Mitch Robinson,BRL,MID,76.9,143
Darcy Byrne-Jones,PTA,DEF,76.7,144
Oscar McInerney,BRL,RUC,76.7,145
Brandan Parfitt,GEE,MID,76.6,146
Jye Caldwell,ESS,MID,76.5,147
Jonathon Ceglar,GEE,RUC,76.4,148
Josh Caddy,RIC,MID,76.3,149
Isaac Heeney,SYD,FWD,76.2,150
Zak Butters,PTA,FWD,76.2,151
Nick Vlastuin,RIC,DEF,76.1,152
Trent Cotchin,RIC,MID,75.8,153
James Rowbottom,SYD,MID,75.6,154
Tom Hawkins,GEE,FWD,75.6,155
Andrew Phillips,ESS,RUC,75.5,156
Willem Drew,PTA,MID,75.5,157
Taylor Walker,ADE,FWD,75.4,158
Paddy Ryder,STK,RUC,74.8,159
John Noble,COL,DEF,74.6,160
Tom McDonald,MEL,FWD,74.5,161
Jamie Elliott,COL,FWD,73.9,162
Jacob Weitering,CAR,DEF,73.8,163
Kieran Strachan,ADE,RUC,73.5,164
Jeremy Howe,COL,DEF,73.4,165
Ryan Burton,PTA,DEF,73.4,166
