Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
ADE,"Laird, Rory",MID,14.27,3.73,17.73,0.14,0.36,0.00,5.91,1.73,1.50,
ADE,"Keays, Ben",MID,15.91,3.73,12.23,0.55,0.36,0.00,6.05,1.18,1.50,
ADE,"Seedsman, Paul",MID,15.77,5.36,10.32,0.55,0.59,0.00,2.32,0.82,0.82,
ADE,"Smith, Brodie",DEF,15.09,4.86,4.59,0.09,0.18,0.00,1.73,0.41,0.36,
ADE,"Schoenberg, Harry",MID,10.45,2.82,7.95,0.45,0.41,0.00,3.59,0.73,1.45,
ADE,"Sloane, Rory",MID,9.00,3.05,9.27,0.14,0.09,0.00,3.95,1.09,0.77,
ADE,"Doedee, Tom",DEF,9.23,4.55,6.59,0.05,0.05,0.00,2.14,0.86,1.00,
ADE,"Sholl, Lachlan",MID,9.45,3.55,5.73,0.14,0.32,0.00,0.95,0.32,0.23,
ADE,"Kelly, Jake",DEF,9.73,4.64,4.32,0.00,0.00,0.00,1.91,0.95,0.77,
ADE,"OBrien, Reilly",RUC,6.27,3.23,7.09,0.09,0.00,26.59,2.50,1.14,0.91,
ADE,"McHenry, Ned",FWD,5.45,2.45,6.27,0.50,0.32,0.00,2.95,0.95,1.68,
ADE,"McPherson, Andrew",DEF,7.09,2.45,4.00,0.00,0.00,0.00,1.32,0.36,0.32,
ADE,"Rowe, James",FWD,5.59,1.86,5.36,0.68,0.50,0.00,1.59,0.82,0.41,
ADE,"Butts, Jordon",DEF,6.86,3.82,3.64,0.00,0.00,0.00,1.36,1.05,0.77,
ADE,"Walker, Taylor",FWD,7.05,4.09,3.27,2.18,1.32,1.82,1.05,0.91,0.95,
ADE,"Lynch, Tom",FWD,5.86,2.91,3.91,0.36,0.41,0.00,0.68,0.59,0.36,
ADE,"Jones, Chayce",FWD,5.82,1.95,2.64,0.05,0.14,0.00,0.86,0.27,0.68,
ADE,"Murphy, Lachlan",FWD,4.55,1.14,3.45,0.41,0.68,0.00,1.55,1.00,0.41,
ADE,"Hamill, Will",DEF,4.27,1.23,3.59,0.00,0.00,0.00,1.59,0.82,0.36,
ADE,"Berry, Sam",FWD,2.73,1.23,4.27,0.23,0.41,0.00,3.14,0.55,0.77,
ADE,"Thilthorpe, Riley",FWD,4.27,2.00,2.64,0.82,0.45,1.14,0.86,0.45,0.64,
ADE,"Brown, Luke",DEF,4.50,1.77,1.95,0.00,0.00,0.00,1.18,0.36,0.09,
ADE,"Fogarty, Darcy",FWD,4.32,2.41,1.91,1.09,0.55,0.05,0.95,0.86,0.73,
ADE,"McAdam, Shane",FWD,3.59,2.55,2.18,1.14,0.50,0.00,1.55,0.64,0.95,
ADE,"Frampton, Billy",FWD,2.91,2.27,1.50,0.09,0.50,1.09,0.36,0.18,0.32,
