Player,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Laird, Rory",14.27,3.73,17.73,0.14,0.36,0.00,5.91,1.73,1.50,
"Keays, Ben",15.91,3.73,12.23,0.55,0.36,0.00,6.05,1.18,1.50,
"Seedsman, Paul",15.77,5.36,10.32,0.55,0.59,0.00,2.32,0.82,0.82,
"Smith, Brodie",15.09,4.86,4.59,0.09,0.18,0.00,1.73,0.41,0.36,
"Schoenberg, Harry",10.45,2.82,7.95,0.45,0.41,0.00,3.59,0.73,1.45,
"Sloane, Rory",9.00,3.05,9.27,0.14,0.09,0.00,3.95,1.09,0.77,
"Doedee, Tom",9.23,4.55,6.59,0.05,0.05,0.00,2.14,0.86,1.00,
"Sholl, Lachlan",9.45,3.55,5.73,0.14,0.32,0.00,0.95,0.32,0.23,
"Kelly, Jake",9.73,4.64,4.32,0.00,0.00,0.00,1.91,0.95,0.77,
"OBrien, Reilly",6.27,3.23,7.09,0.09,0.00,26.59,2.50,1.14,0.91,
"McHenry, Ned",5.45,2.45,6.27,0.50,0.32,0.00,2.95,0.95,1.68,
"McPherson, Andrew",7.09,2.45,4.00,0.00,0.00,0.00,1.32,0.36,0.32,
"Rowe, James",5.59,1.86,5.36,0.68,0.50,0.00,1.59,0.82,0.41,
"Mackay, David",6.68,1.91,4.23,0.27,0.27,0.00,1.82,0.73,0.32,
"Butts, Jordon",6.86,3.82,3.64,0.00,0.00,0.00,1.36,1.05,0.77,
"Walker, Taylor",7.05,4.09,3.27,2.18,1.32,1.82,1.05,0.91,0.95,
"Lynch, Tom",5.86,2.91,3.91,0.36,0.41,0.00,0.68,0.59,0.36,
"Jones, Chayce",5.82,1.95,2.64,0.05,0.14,0.00,0.86,0.27,0.68,
"Murphy, Lachlan",4.55,1.14,3.45,0.41,0.68,0.00,1.55,1.00,0.41,
"Hamill, Will",4.27,1.23,3.59,0.00,0.00,0.00,1.59,0.82,0.36,
"Berry, Sam",2.73,1.23,4.27,0.23,0.41,0.00,3.14,0.55,0.77,
"Thilthorpe, Riley",4.27,2.00,2.64,0.82,0.45,1.14,0.86,0.45,0.64,
"Brown, Luke",4.50,1.77,1.95,0.00,0.00,0.00,1.18,0.36,0.09,
"Fogarty, Darcy",4.32,2.41,1.91,1.09,0.55,0.05,0.95,0.86,0.73,
"McAdam, Shane",3.59,2.55,2.18,1.14,0.50,0.00,1.55,0.64,0.95,
"Frampton, Billy",2.91,2.27,1.50,0.09,0.50,1.09,0.36,0.18,0.32,
"Murray, Nick",3.18,1.32,0.91,0.05,0.05,0.05,0.82,0.59,0.45,
"Himmelberg, Elliott",1.91,1.14,1.32,0.36,0.27,0.64,0.36,0.45,0.32,
"Cook, Brayden",1.00,0.27,0.91,0.00,0.00,0.00,0.14,0.00,0.05,
"Davis, Ben",0.91,0.45,0.68,0.00,0.00,0.00,0.14,0.14,0.05,
"Hately, Jackson",0.82,0.32,0.77,0.00,0.09,0.00,0.55,0.05,0.05,
"Strachan, Kieran",0.59,0.32,0.73,0.00,0.09,2.68,0.14,0.00,0.27,
"Pedlar, Luke",0.64,0.18,0.23,0.00,0.00,0.00,0.05,0.05,0.05,
"OConnor, Ronin",0.14,0.09,0.64,0.00,0.00,0.00,0.36,0.00,0.09,
"Gollant, Lachlan",0.32,0.14,0.18,0.05,0.05,0.00,0.05,0.05,0.00,
"Hinge, Mitch",0.27,0.14,0.05,0.00,0.00,0.00,0.00,0.05,0.00,
"Worrell, Josh",0.09,0.00,0.05,0.00,0.00,0.00,0.09,0.00,0.00,
,206.59,79.91,147.09,10.45,8.95,34.05,56.55,21.14,20.41,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Lyons, Jarryd",395,119,279,10,7,,154,38,11,
"Rich, Daniel",514,137,110,3,10,,42,12,11,
"McCluggage, Hugh",407,123,193,15,22,,89,23,23,
"Zorko, Dayne",386,122,169,17,18,,140,31,40,
"Neale, Lachie",220,66,239,8,6,,70,35,17,
"Bailey, Zac",273,77,167,31,18,,68,20,45,
"Robinson, Mitch",297,98,133,7,7,,64,27,23,
"Birchall, Grant",307,159,118,2,,,23,3,9,
"Andrews, Harris",219,181,132,1,1,,29,16,25,
"Daniher, Joe",259,117,83,46,32,49,25,30,33,
"McCarthy, Lincoln",183,77,123,36,15,,80,27,28,
"McInerney, Oscar",156,53,145,6,5,672,51,39,29,
"Starcevich, Brandon",216,90,82,,,,41,15,26,
"Cameron, Charlie",199,95,62,55,33,,53,18,19,
"Adams, Marcus",166,92,71,,,,30,13,14,
"Robertson, Deven",110,53,100,4,2,,67,10,9,
"Ah Chee, Callum",103,35,96,7,,,58,5,18,
"Lester, Ryan",112,72,86,1,,,32,10,12,
"McStay, Daniel",120,88,71,28,10,8,58,19,9,
"Hipwood, Eric",118,79,51,26,20,,20,12,17,
"Mathieson, Rhys",84,36,85,2,2,,39,8,15,
"Coleman, Keidean",89,44,73,6,5,,32,16,11,
"Prior, Jaxon",116,45,44,6,4,,24,11,5,
"Berry, Jarrod",75,24,63,5,2,,34,14,15,
"Fullarton, Tom",52,22,73,3,1,42,21,5,5,
"Payne, Jack",73,49,46,,,,16,2,5,
"Gardiner, Darcy",61,34,38,,,,4,6,11,
"Madden, James",49,25,50,1,,,16,8,2,
"Cockatoo, Nakia",18,5,24,5,1,,22,4,4,
"Berry, Tom",14,6,23,2,1,,20,2,5,
"Sharp, Harry",12,3,3,,,,4,1,2,
"Ballenden, Connor",3,2,1,,,1,,1,2,
,5406,2228,3033,333,222,772,1426,481,500,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Walsh, Sam",298,127,358,12,6,,100,24,32,
"Curnow, Ed",318,106,178,10,3,,80,13,23,
"Cripps, Patrick",163,63,305,13,11,3,85,47,44,
"Saad, Adam",311,72,113,2,6,,39,15,10,
"Weitering, Jacob",301,167,60,,1,2,29,18,14,
"Docherty, Sam",252,107,88,,,,31,16,4,
"Newnes, Jack",188,93,124,4,9,,34,20,12,
"Newman, Nic",199,86,76,,1,,54,18,11,
"Williams, Zac",201,55,63,5,4,,26,11,14,
"Fogarty, Lachie",139,57,107,6,6,,62,16,11,
"Dow, Paddy",95,28,147,4,2,,39,9,13,
"Kennedy, Matthew",138,60,101,6,2,,54,11,10,
"Stocker, Liam",163,58,75,2,1,,37,15,10,
"Jones, Liam",178,105,41,,1,,19,24,16,
"Plowman, Lachie",160,85,59,1,,,20,14,13,
"Silvagni, Jack",130,70,70,9,13,17,38,14,12,
"Petrevski-Seton, Sam",134,56,64,1,3,,26,7,7,
"Murphy, Marc",115,47,76,8,4,,24,8,4,
"McKay, Harry",154,113,31,58,33,6,27,27,18,
"Betts, Eddie",121,42,59,27,16,,31,8,14,
"Cottrell, Matthew",118,37,47,3,2,,31,5,9,
"Fisher, Zac",85,23,74,4,8,,24,5,9,
"Gibbons, Michael",98,39,58,8,5,,27,6,6,
"Pittonet, Marc",67,26,80,5,5,379,28,17,24,
"Martin, Jack",94,61,46,8,6,,26,9,11,
"Setterfield, Will",74,35,50,1,6,,17,6,10,
"Williamson, Tom",83,43,41,2,3,,16,2,8,
"De Koning, Tom",81,40,42,7,4,219,27,16,15,
"Owies, Matthew",69,43,46,15,17,,38,10,7,
"Casboult, Levi",77,47,34,8,5,79,25,11,17,
"OBrien, Lochie",49,20,31,1,3,,9,4,1,
"McGovern, Mitch",42,24,14,6,4,,13,7,,
"Cuningham, David",26,9,28,3,2,,6,2,3,
"Curnow, Charlie",35,16,14,2,5,,6,1,7,
"Parks, Luke",30,12,15,,,,12,5,5,
"Honey, Josh",24,13,12,6,3,,6,2,1,
"Kemp, Brodie",14,8,5,,,,3,,1,
"McDonald, Oscar",8,3,1,2,1,,2,3,1,
"Durdin, Corey",4,2,4,1,,,4,1,,
,4836,2098,2837,250,201,705,1175,447,427,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Crisp, Jack",341,148,253,2,5,,80,16,29,
"Sidebottom, Steele",272,114,228,8,5,,62,14,24,
"Maynard, Brayden",335,121,126,1,,,57,16,26,
"de Goey, Jordan",251,108,169,23,23,,39,12,18,
"Pendlebury, Scott",197,67,220,4,4,,69,13,10,
"Noble, John",260,114,149,2,,,57,23,14,
"Mayne, Chris",225,128,179,,,,44,12,9,
"Adams, Taylor",195,46,187,2,2,,78,30,16,
"Grundy, Brodie",185,72,197,12,6,647,84,31,43,
"Quaynor, Isaac",221,95,140,1,2,,45,18,13,
"Daicos, Josh",173,48,149,9,9,,53,19,14,
"Hoskin-Elliott, Will",213,124,101,13,2,,45,6,14,
"Madgen, Jack",159,88,145,1,2,,19,10,6,
"Roughead, Jordan",190,137,87,,,9,35,12,14,
"Thomas, Josh",148,66,118,12,9,,51,19,7,
"Mihocek, Brody",178,123,50,34,34,,35,16,19,
"Moore, Darcy",153,107,68,4,1,,12,9,16,
"Cameron, Darcy",147,99,72,22,9,121,32,20,15,
"Elliott, Jamie",127,61,73,25,8,,32,10,15,
"Brown, Callum",66,41,107,3,6,,44,8,5,
"Poulter, Caleb",107,55,58,2,5,,22,9,6,
"Bianco, Trent",100,53,47,7,5,,21,5,4,
"Murphy, Nathan",88,50,56,1,3,,16,16,6,
"Howe, Jeremy",98,46,41,1,,,19,6,5,
"Macrae, Finlay",45,26,69,1,,,9,2,3,
"Ruscoe, Trey",73,27,33,2,,,15,3,7,
"Brown, Tyler",35,14,60,,,,11,1,4,
"Henry, Oliver",61,44,30,7,8,,9,4,1,
"Sier, Brayden",32,16,54,1,,,19,3,,
"McCreery, Beau",52,24,30,11,6,,43,3,13,
"Cox, Mason",41,26,25,8,8,23,7,11,5,
"Keane, Mark",31,23,25,,1,,1,,7,
"Wilson, Tom",25,7,23,,,,7,1,5,
"Ginnivan, Jack",38,18,7,6,3,,4,6,3,
"Rantall, Jay",10,10,19,,,,3,1,2,
"Greenwood, Levi",16,3,9,,,,7,,4,
