PLAYER,K,H,M,T,FF,FA,HO,G,B,GA,D,ED,IED,I50,R50,CL,SP,CP,UCP,CM,FD,CS
Touk Miller,15.9,15.9,4.5,7.1,1.7,1.2,0,0.4,0.4,0.4,31.8,22.7,9.1,4.3,2.4,5.7,0.3,12.6,19.8,0.1,0.4,4.5
Jack Steele,14.1,15,4.7,8.4,2,1.5,0,0.6,0.4,0.5,29,20.5,8.5,4.8,1.7,6.3,0.7,13.8,15.1,0.3,0.5,4
Jarryd Lyons,16.5,11.7,5,6.5,1.5,0.5,0,0.5,0.3,0.8,28.2,18.7,9.5,4.5,1.3,6,0.4,13.5,14.1,0.4,1,3.3
Jack Macrae,16.3,17.5,4.2,4.8,1.7,1,0,0.2,0.2,1.2,33.8,25.7,8.1,5,1.9,6.8,0.2,13,21.2,0.1,0.6,3.2
Tom Mitchell,14.6,19.7,4.5,4.9,1.1,1.3,0,0.4,0.2,0.5,34.3,25.6,8.7,4.1,2.2,4.8,0,11.6,22.9,0,-0.2,3.7
Ollie Wines,15.3,16.8,4.2,4.5,1.5,0.8,0,0.4,0.6,0.6,32.1,22,10.1,5.2,1.6,5.9,0.3,14.6,17,0.5,0.6,4.6
Rory Laird,14.3,17.7,3.7,6,1.7,1.5,0,0.1,0.4,0.7,32,22.6,9.4,3.7,2.1,6.9,0.2,14.8,17.4,0.1,0.2,4.5
Christian Petracca,16.1,12.5,5.3,4.3,1,1.2,0,1.1,0.6,0.6,28.6,17.4,11.2,6.7,1.2,6.3,0.3,13.6,15.1,0.4,-0.3,5
Zach Merrett,15.7,15.9,4.2,4.7,1.8,1,0,0.2,0.3,0.9,31.5,23.6,7.9,5.5,2.4,3.7,0.5,8.8,22.6,0,0.8,3.9
Callum Mills,14.2,13.3,5.9,5.3,1.2,0.6,0,0.3,0.1,0.5,27.5,20.7,6.8,4.2,2.7,4.8,0.8,10.4,17.1,0.1,0.7,3.1
Cameron Guthrie,15.4,14.6,6,4.1,0.9,0.8,0,0.2,0.4,0.6,30,22.2,7.8,4,1.7,5.1,0.2,9.9,19.7,0.2,0.2,2.5
Sam Walsh,13.5,16.3,5.8,4.5,1.1,1.5,0,0.5,0.3,0.7,29.8,22.2,7.6,3.9,1.3,4.8,0.2,11.5,18.5,0.3,-0.4,3.6
Aaron Hall,21.2,6.8,7.5,2.2,0.4,0.2,0,0.1,0.3,0.4,27.9,21.2,6.8,2.9,7.4,0.5,1,4.1,19.5,0.2,0.2,3.3
Dayne Zorko,17.1,7.2,5.4,6.2,1.4,1.7,0,0.8,0.9,1.1,24.3,16.3,8,6.6,1.9,4.7,0.4,9.8,13.7,0,-0.3,4.6
Clayton Oliver,14.2,17.4,3.6,5.3,1.8,2,0,0.4,0.8,0.5,31.6,22.1,9.5,5.2,1.9,7.6,0.3,17.7,14.1,0.2,-0.1,5.2
Max Gawn,12.4,6,5.2,2.6,1.3,1.2,32,0.5,0.6,0.4,18.4,11.8,6.6,3.1,1.8,4.3,3.3,10.5,7.9,2.3,0.1,3.5
Ben Keays,15.9,12.2,3.7,6,1.2,1.5,0,0.5,0.4,0.5,28.1,18.4,9.7,5.4,2,5.6,0.2,11,15.6,0.1,-0.3,4.6
Marcus Bontempelli,15.5,11.7,4,5,1.8,1.4,0.3,1.2,0.7,1,27.2,18.7,8.5,6.6,1.8,5.5,1.5,11.3,17.2,0.7,0.5,4.9
Tim Taranto,15.5,11.4,5,5.4,1,1,0,0.5,0.6,0.3,26.9,17.3,9.6,4.2,1.7,4.3,0.4,10,15.8,0.2,0,5
Brodie Grundy,9.3,9.9,3.6,4.2,1.6,2.2,32.4,0.6,0.3,0.3,19.1,12.7,6.4,2.5,1.4,4,1.7,10.9,8.7,1,-0.6,4.6
Darcy Parish,14.5,15.8,4.2,3.9,0.5,0.4,0,0.4,0.3,0.9,30.3,21.9,8.4,6,1.3,7.4,0.1,13.2,17.5,0,0.1,3.5
Brayden Fiorini,14.8,11.2,5.8,5.2,0.8,0.7,0,0.2,0.2,0.3,26,18.8,7.2,3.3,2.7,4.4,0.7,10,16.7,0,0.1,4.4
