Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
ADE,"Laird, Rory",MID,14.27,3.73,17.73,0.14,0.36,0,5.91,1.73,1.5,
ADE,"Keays, Ben",MID,15.91,3.73,12.23,0.55,0.36,0,6.05,1.18,1.5,
ADE,"Seedsman, Paul",MID,15.77,5.36,10.32,0.55,0.59,0,2.32,0.82,0.82,
ADE,"Smith, Brodie",DEF,15.81,5.1,4.81,0.1,0.19,0,1.81,0.43,0.38,
ADE,"Schoenberg, Harry",MID,10.45,2.82,7.95,0.45,0.41,0,3.59,0.73,1.45,
ADE,"Sloane, Rory",MID,11,3.72,11.33,0.17,0.11,0,4.83,1.33,0.94,
ADE,"Doedee, Tom",DEF,9.67,4.76,6.9,0.05,0.05,0,2.24,0.9,1.05,
ADE,"Sholl, Lachlan",MID,10.95,4.11,6.63,0.16,0.37,0,1.11,0.37,0.26,
ADE,"Kelly, Jake",DEF,10.7,5.1,4.75,0,0,0,2.1,1.05,0.85,
ADE,"OBrien, Reilly",RUC,6.9,3.55,7.8,0.1,0,29.25,2.75,1.25,1,
ADE,"McHenry, Ned",FWD,5.71,2.57,6.57,0.52,0.33,0,3.1,1,1.76,
ADE,"McPherson, Andrew",DEF,8.67,3,4.89,0,0,0,1.61,0.44,0.39,
ADE,"Rowe, James",FWD,6.47,2.16,6.21,0.79,0.58,0,1.84,0.95,0.47,
ADE,"Butts, Jordon",DEF,6.86,3.82,3.64,0,0,0,1.36,1.05,0.77,
ADE,"Walker, Taylor",FWD,9.12,5.29,4.24,2.82,1.71,2.35,1.35,1.18,1.24,
ADE,"Lynch, Tom",FWD,10.75,5.33,7.17,0.67,0.75,0,1.25,1.08,0.67,
ADE,"Jones, Chayce",FWD,8.53,2.87,3.87,0.07,0.2,0,1.27,0.4,1,
ADE,"Murphy, Lachlan",FWD,6.67,1.67,5.07,0.6,1,0,2.27,1.47,0.6,
ADE,"Hamill, Will",DEF,5.53,1.59,4.65,0,0,0,2.06,1.06,0.47,
ADE,"Berry, Sam",FWD,3.53,1.59,5.53,0.29,0.53,0,4.06,0.71,1,
ADE,"Thilthorpe, Riley",FWD,6.71,3.14,4.14,1.29,0.71,1.79,1.36,0.71,1,
ADE,"Brown, Luke",DEF,9,3.55,3.91,0,0,0,2.36,0.73,0.18,
ADE,"Fogarty, Darcy",FWD,5.59,3.12,2.47,1.41,0.71,0.06,1.24,1.12,0.94,
ADE,"McAdam, Shane",FWD,5.27,3.73,3.2,1.67,0.73,0,2.27,0.93,1.4,
ADE,"Frampton, Billy",FWD,6.4,5,3.3,0.2,1.1,2.4,0.8,0.4,0.7,
ADE,"Murray, Nick",DEF,5.38,2.23,1.54,0.08,0.08,0.08,1.38,1,0.77,
ADE,"Himmelberg, Elliott",FWD,5.25,3.13,3.63,1,0.75,1.75,1,1.25,0.88,
ADE,"Cook, Brayden",MID,7.33,2,6.67,0,0,0,1,0,0.33,
ADE,"Davis, Ben",FWD,5,2.5,3.75,0,0,0,0.75,0.75,0.25,
ADE,"Hately, Jackson",MID,6,2.33,5.67,0,0.67,0,4,0.33,0.33,
BRIS,"Lyons, Jarryd",MID,16.46,4.96,11.63,0.42,0.29,0,6.42,1.58,0.46,
BRIS,"Rich, Daniel",DEF,21.42,5.71,4.58,0.13,0.42,0,1.75,0.5,0.46,
BRIS,"McCluggage, Hugh",MID,16.96,5.13,8.04,0.63,0.92,0,3.71,0.96,0.96,
BRIS,"Zorko, Dayne",MID,16.78,5.3,7.35,0.74,0.78,0,6.09,1.35,1.74,
BRIS,"Neale, Lachie",MID,12.94,3.88,14.06,0.47,0.35,0,4.12,2.06,1,
BRIS,"Bailey, Zac",FWD,11.38,3.21,6.96,1.29,0.75,0,2.83,0.83,1.88,
BRIS,"Robinson, Mitch",MID,13.5,4.45,6.05,0.32,0.32,0,2.91,1.23,1.05,
BRIS,"Birchall, Grant",DEF,13.35,6.91,5.13,0.09,0,0,1,0.13,0.39,
BRIS,"Andrews, Harris",DEF,9.52,7.87,5.74,0.04,0.04,0,1.26,0.7,1.09,
BRIS,"Daniher, Joe",FWD,10.79,4.88,3.46,1.92,1.33,2.04,1.04,1.25,1.38,
BRIS,"McCarthy, Lincoln",FWD,7.63,3.21,5.13,1.5,0.63,0,3.33,1.13,1.17,
BRIS,"McInerney, Oscar",RUC,6.78,2.3,6.3,0.26,0.22,29.22,2.22,1.7,1.26,
BRIS,"Starcevich, Brandon",DEF,9,3.75,3.42,0,0,0,1.71,0.63,1.08,
BRIS,"Cameron, Charlie",FWD,8.29,3.96,2.58,2.29,1.38,0,2.21,0.75,0.79,
BRIS,"Adams, Marcus",DEF,9.76,5.41,4.18,0,0,0,1.76,0.76,0.82,
BRIS,"Robertson, Deven",MID,6.88,3.31,6.25,0.25,0.13,0,4.19,0.63,0.56,
BRIS,"Ah Chee, Callum",DEF,4.9,1.67,4.57,0.33,0,0,2.76,0.24,0.86,
BRIS,"Lester, Ryan",DEF,6.59,4.24,5.06,0.06,0,0,1.88,0.59,0.71,
BRIS,"McStay, Daniel",FWD,6.32,4.63,3.74,1.47,0.53,0.42,3.05,1,0.47,
BRIS,"Hipwood, Eric",FWD,7.38,4.94,3.19,1.63,1.25,0,1.25,0.75,1.06,
BRIS,"Mathieson, Rhys",MID,5.6,2.4,5.67,0.13,0.13,0,2.6,0.53,1,
BRIS,"Coleman, Keidean",FWD,4.94,2.44,4.06,0.33,0.28,0,1.78,0.89,0.61,
BRIS,"Prior, Jaxon",MID,6.44,2.5,2.44,0.33,0.22,0,1.33,0.61,0.28,
BRIS,"Berry, Jarrod",MID,6.82,2.18,5.73,0.45,0.18,0,3.09,1.27,1.36,
BRIS,"Fullarton, Tom",RUC,4.33,1.83,6.08,0.25,0.08,3.5,1.75,0.42,0.42,
BRIS,"Payne, Jack",DEF,7.3,4.9,4.6,0,0,0,1.6,0.2,0.5,
BRIS,"Gardiner, Darcy",DEF,6.78,3.78,4.22,0,0,0,0.44,0.67,1.22,
BRIS,"Madden, James",DEF,5.44,2.78,5.56,0.11,0,0,1.78,0.89,0.22,
BRIS,"Cockatoo, Nakia",FWD,2.57,0.71,3.43,0.71,0.14,0,3.14,0.57,0.57,
BRIS,"Berry, Tom",MID,1.27,0.55,2.09,0.18,0.09,0,1.82,0.18,0.45,
CARL,"Walsh, Sam",MID,13.55,5.77,16.27,0.55,0.27,0,4.55,1.09,1.45,
CARL,"Curnow, Ed",MID,14.45,4.82,8.09,0.45,0.14,0,3.64,0.59,1.05,
CARL,"Cripps, Patrick",MID,8.15,3.15,15.25,0.65,0.55,0.15,4.25,2.35,2.2,
CARL,"Saad, Adam",DEF,14.14,3.27,5.14,0.09,0.27,0,1.77,0.68,0.45,
CARL,"Weitering, Jacob",DEF,13.68,7.59,2.73,0,0.05,0.09,1.32,0.82,0.64,
CARL,"Docherty, Sam",DEF,18,7.64,6.29,0,0,0,2.21,1.14,0.29,
CARL,"Newnes, Jack",DEF,9.89,4.89,6.53,0.21,0.47,0,1.79,1.05,0.63,
CARL,"Newman, Nic",DEF,14.21,6.14,5.43,0,0.07,0,3.86,1.29,0.79,
CARL,"Williams, Zac",DEF,14.36,3.93,4.5,0.36,0.29,0,1.86,0.79,1,
CARL,"Fogarty, Lachie",FWD,8.18,3.35,6.29,0.35,0.35,0,3.65,0.94,0.65,
CARL,"Dow, Paddy",MID,5.59,1.65,8.65,0.24,0.12,0,2.29,0.53,0.76,
CARL,"Kennedy, Matthew",FWD,10.62,4.62,7.77,0.46,0.15,0,4.15,0.85,0.77,
CARL,"Stocker, Liam",DEF,9.59,3.41,4.41,0.12,0.06,0,2.18,0.88,0.59,
CARL,"Plowman, Lachie",DEF,8.42,4.47,3.11,0.05,0,0,1.05,0.74,0.68,
CARL,"Silvagni, Jack",FWD,6.84,3.68,3.68,0.47,0.68,0.89,2,0.74,0.63,
CARL,"Petrevski-Seton, Sam",DEF,8.93,3.73,4.27,0.07,0.2,0,1.73,0.47,0.47,
CARL,"McKay, Harry",FWD,11,8.07,2.21,4.14,2.36,0.43,1.93,1.93,1.29,
CARL,"Cottrell, Matthew",MID,8.43,2.64,3.36,0.21,0.14,0,2.21,0.36,0.64,
CARL,"Fisher, Zac",FWD,8.5,2.3,7.4,0.4,0.8,0,2.4,0.5,0.9,
CARL,"Gibbons, Michael",FWD,8.91,3.55,5.27,0.73,0.45,0,2.45,0.55,0.55,
CARL,"Pittonet, Marc",RUC,5.15,2,6.15,0.38,0.38,29.15,2.15,1.31,1.85,
CARL,"Martin, Jack",FWD,8.55,5.55,4.18,0.73,0.55,0,2.36,0.82,1,
CARL,"Setterfield, Will",MID,9.25,4.38,6.25,0.13,0.75,0,2.13,0.75,1.25,
CARL,"Williamson, Tom",MID,7.55,3.91,3.73,0.18,0.27,0,1.45,0.18,0.73,
CARL,"De Koning, Tom",RUC,6.23,3.08,3.23,0.54,0.31,16.85,2.08,1.23,1.15,
CARL,"Owies, Matthew",FWD,5.31,3.31,3.54,1.15,1.31,0,2.92,0.77,0.54,
CARL,"OBrien, Lochie",MID,9.8,4,6.2,0.2,0.6,0,1.8,0.8,0.2,
CARL,"McGovern, Mitch",FWD,8.4,4.8,2.8,1.2,0.8,0,2.6,1.4,0,
CARL,"Cuningham, David",MID,6.5,2.25,7,0.75,0.5,0,1.5,0.5,0.75,
CARL,"Curnow, Charlie",FWD,8.75,4,3.5,0.5,1.25,0,1.5,0.25,1.75,
COLL,"Crisp, Jack",DEF,15.5,6.73,11.5,0.09,0.23,0,3.64,0.73,1.32,
COLL,"Sidebottom, Steele",FWD,12.95,5.43,10.86,0.38,0.24,0,2.95,0.67,1.14,
COLL,"Maynard, Brayden",DEF,15.23,5.5,5.73,0.05,0,0,2.59,0.73,1.18,
COLL,"de Goey, Jordan",FWD,12.55,5.4,8.45,1.15,1.15,0,1.95,0.6,0.9,
COLL,"Pendlebury, Scott",DEF,10.94,3.72,12.22,0.22,0.22,0,3.83,0.72,0.56,
