Team,Playerÿÿ,Pos. ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,Disp. Ave.,AFLF
ADE,"Laird, Rory",,22,314,82,390,3,8,,130,47,81,150,98,38,33,326,383,2,3,16,4,15,32,111.5
ADE,"Keays, Ben",,22,350,82,269,12,8,,133,44,119,122,103,26,33,241,344,2,7,29,4,11,28.13636364,107.8636364
ADE,"Seedsman, Paul",,22,347,118,227,12,13,,51,61,125,44,74,18,18,135,436,2,2,15,31,14,26.09090909,95.54545455
ADE,"Smith, Brodie",,21,332,107,101,2,4,,38,138,74,22,52,9,8,92,276,6,2,46,5,4,20.61904762,79.61904762
ADE,"Schoenberg, Harry",,22,230,62,175,10,9,,79,26,78,67,79,16,32,163,247,1,8,19,4,9,18.40909091,69.59090909
ADE,"Sloane, Rory",,18,198,67,204,3,2,,87,28,67,96,52,24,17,216,177,5,2,50,2,9,22.33333333,85.77777778
ADE,"Doedee, Tom",,21,203,100,145,1,1,,47,91,20,6,55,19,22,142,182,30,1,142,4,1,16.57142857,64.14285714
ADE,"Sholl, Lachlan",,19,208,78,126,3,7,,21,38,49,23,34,7,5,83,247,3,3,8,5,6,17.57894737,63.73684211
ADE,"Kelly, Jake",,20,214,102,95,,,,42,64,20,4,44,21,17,92,199,11,,74,,,15.45,63.8
ADE,"OBrien, Reilly",,20,138,71,156,2,,585,55,26,38,77,53,25,20,191,101,38,3,74,,4,14.7,86.05
ADE,"McHenry, Ned",,21,120,54,138,11,7,,65,5,27,13,67,21,37,107,168,5,13,23,2,9,12.28571429,49.57142857
ADE,"McPherson, Andrew",,18,156,54,88,,,,29,55,20,6,38,8,7,56,151,4,,28,1,5,13.55555556,50.5
ADE,"Rowe, James",,19,123,41,118,15,11,,35,4,34,9,33,18,9,91,155,2,8,7,1,7,12.68421053,50.52631579
ADE,"Mackay, David",,18,147,42,93,6,6,,40,24,36,16,29,16,7,75,160,2,5,14,8,6,13.33333333,52.77777778
ADE,"Butts, Jordon",,22,151,84,80,,,,30,67,13,,44,23,17,82,150,12,,132,,,10.5,43.5
ADE,"Walker, Taylor",,17,155,90,72,48,29,40,23,1,40,18,47,20,21,135,97,33,44,23,,12,13.35294118,75.58823529
ADE,"Lynch, Tom",,12,129,64,86,8,9,,15,6,28,11,24,13,8,63,150,5,9,12,,10,17.91666667,71.41666667
ADE,"Jones, Chayce",,15,128,43,58,1,3,,19,41,18,2,38,6,15,53,115,5,,30,2,1,12.4,45
ADE,"Murphy, Lachlan",,15,100,25,76,9,15,,34,3,31,21,27,22,9,91,87,,5,13,1,5,11.73333333,48.46666667
ADE,"Hamill, Will",,17,94,27,79,,,,35,24,14,7,28,18,8,78,96,4,,22,,1,10.17647059,38.52941176
ADE,"Berry, Sam",,17,60,27,94,5,9,,69,3,28,17,31,12,17,89,76,4,3,19,,6,9.058823529,42.64705882
ADE,"Thilthorpe, Riley",,14,94,44,58,18,10,25,19,2,14,8,32,10,14,88,69,16,17,32,,4,10.85714286,51.21428571
ADE,"Brown, Luke",,11,99,39,43,,,,26,47,12,3,16,8,2,39,86,1,1,28,,1,12.90909091,55.09090909
ADE,"Fogarty, Darcy",,17,95,53,42,24,12,1,21,,34,5,28,19,16,73,71,15,28,19,,6,8.058823529,43.52941176
ADE,"McAdam, Shane",,15,79,56,48,25,11,,34,1,16,4,38,14,21,61,68,13,28,13,1,6,8.466666667,49.93333333
ADE,"Frampton, Billy",,10,64,50,33,2,11,24,8,17,7,2,21,4,7,38,59,15,12,25,,1,9.7,47
ADE,"Murray, Nick",,13,70,29,20,1,1,1,18,29,9,1,20,13,10,42,46,6,2,82,,,6.923076923,30.76923077
ADE,"Himmelberg, Elliott",,8,42,25,29,8,6,14,8,1,15,1,18,10,7,52,27,14,9,17,,2,8.875,43.5
ADE,"Cook, Brayden",,3,22,6,20,,,,3,2,5,2,4,,1,13,29,,,,1,,14,44.33333333
ADE,"Davis, Ben",,4,20,10,15,,,,3,2,3,,2,3,1,13,22,1,,3,1,,8.75,33
ADE,"Hately, Jackson",,3,18,7,17,,2,,12,2,4,2,8,1,1,10,25,,2,,,1,11.66666667,52.33333333
ADE,"Strachan, Kieran",,2,13,7,16,,2,59,3,1,5,5,9,,6,14,18,2,1,6,,,14.5,73.5
ADE,"Pedlar, Luke",,2,14,4,5,,,,1,1,5,3,6,1,1,5,14,,,1,,,9.5,33
ADE,"OConnor, Ronin",,3,3,2,14,,,,8,,2,2,4,,2,6,12,,,,,,5.666666667,23
ADE,"Gollant, Lachlan",,1,7,3,4,1,1,,1,,3,,3,1,,6,5,1,2,,,,11,50
ADE,"Hinge, Mitch",,1,6,3,1,,,,,2,1,,1,1,,2,5,1,,1,,,7,30
ADE,"Worrell, Josh",,1,2,,1,,,,2,1,,,1,,,1,2,,,2,,,3,16
,,,,4545,1758,3236,230,197,749,1244,904,1095,769,1261,465,449,3064,4555,261,220,1025,77,156,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
BRIS,"Lyons, Jarryd",,24,395,119,279,10,7,,154,32,110,149,79,38,11,327,334,8,13,25,1,18,28.08333333,116.1666667
BRIS,"Rich, Daniel",,24,514,137,110,3,10,,42,191,69,24,65,12,11,130,360,8,,55,,4,26,97.83333333
BRIS,"McCluggage, Hugh",,24,407,123,193,15,22,,89,55,107,82,90,23,23,213,385,3,21,13,7,31,25,99.91666667
BRIS,"Zorko, Dayne",,23,386,122,169,17,18,,140,42,148,104,109,31,40,220,313,1,11,40,3,23,24.13043478,106.6521739
BRIS,"Neale, Lachie",,17,220,66,239,8,6,,70,28,71,107,58,35,17,215,240,,3,6,5,8,27,97.29411765
BRIS,"Bailey, Zac",,24,273,77,167,31,18,,68,25,103,66,98,20,45,183,261,3,13,37,1,17,18.33333333,72.70833333
BRIS,"Robinson, Mitch",,22,297,98,133,7,7,,64,62,90,49,81,27,23,140,279,3,4,32,3,9,19.54545455,77.90909091
BRIS,"Birchall, Grant",,23,307,159,118,2,,,23,87,45,13,48,3,9,75,310,3,,39,2,3,18.47826087,74.52173913
BRIS,"Andrews, Harris",,23,219,181,132,1,1,,29,75,14,2,46,16,25,156,202,46,1,220,1,1,15.26086957,66.43478261
BRIS,"Daniher, Joe",,24,259,117,83,46,32,49,25,8,82,22,70,30,33,141,199,26,43,28,13,11,14.25,70.08333333
BRIS,"McCarthy, Lincoln",,24,183,77,123,36,15,,80,6,61,26,61,27,28,161,149,13,29,35,3,22,12.75,63.33333333
