Playerÿÿ,Games,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Laird, Rory",22,314,82,390,3,8,,130,38,33,
"Keays, Ben",22,350,82,269,12,8,,133,26,33,
"Seedsman, Paul",22,347,118,227,12,13,,51,18,18,
"Smith, Brodie",21,332,107,101,2,4,,38,9,8,
"Schoenberg, Harry",22,230,62,175,10,9,,79,16,32,
"Sloane, Rory",18,198,67,204,3,2,,87,24,17,
"Doedee, Tom",21,203,100,145,1,1,,47,19,22,
"Sholl, Lachlan",19,208,78,126,3,7,,21,7,5,
"Kelly, Jake",20,214,102,95,,,,42,21,17,
"OBrien, Reilly",20,138,71,156,2,,585,55,25,20,
"McHenry, Ned",21,120,54,138,11,7,,65,21,37,
"McPherson, Andrew",18,156,54,88,,,,29,8,7,
"Rowe, James",19,123,41,118,15,11,,35,18,9,
"Mackay, David",18,147,42,93,6,6,,40,16,7,
"Butts, Jordon",22,151,84,80,,,,30,23,17,
"Walker, Taylor",17,155,90,72,48,29,40,23,20,21,
"Lynch, Tom",12,129,64,86,8,9,,15,13,8,
"Jones, Chayce",15,128,43,58,1,3,,19,6,15,
"Murphy, Lachlan",15,100,25,76,9,15,,34,22,9,
"Hamill, Will",17,94,27,79,,,,35,18,8,
"Berry, Sam",17,60,27,94,5,9,,69,12,17,
"Thilthorpe, Riley",14,94,44,58,18,10,25,19,10,14,
"Brown, Luke",11,99,39,43,,,,26,8,2,
"Fogarty, Darcy",17,95,53,42,24,12,1,21,19,16,
"McAdam, Shane",15,79,56,48,25,11,,34,14,21,
"Frampton, Billy",10,64,50,33,2,11,24,8,4,7,
"Murray, Nick",13,70,29,20,1,1,1,18,13,10,
"Himmelberg, Elliott",8,42,25,29,8,6,14,8,10,7,
"Cook, Brayden",3,22,6,20,,,,3,,1,
"Davis, Ben",4,20,10,15,,,,3,3,1,
"Hately, Jackson",3,18,7,17,,2,,12,1,1,
"Strachan, Kieran",2,13,7,16,,2,59,3,,6,
"Pedlar, Luke",2,14,4,5,,,,1,1,1,
"OConnor, Ronin",3,3,2,14,,,,8,,2,
"Gollant, Lachlan",1,7,3,4,1,1,,1,1,,
"Hinge, Mitch",1,6,3,1,,,,,1,,
"Worrell, Josh",1,2,,1,,,,2,,,
,,4545,1758,3236,230,197,749,1244,465,449,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Lyons, Jarryd",24,395,119,279,10,7,,154,38,11,
"Rich, Daniel",24,514,137,110,3,10,,42,12,11,
"McCluggage, Hugh",24,407,123,193,15,22,,89,23,23,
"Zorko, Dayne",23,386,122,169,17,18,,140,31,40,
"Neale, Lachie",17,220,66,239,8,6,,70,35,17,
"Bailey, Zac",24,273,77,167,31,18,,68,20,45,
"Robinson, Mitch",22,297,98,133,7,7,,64,27,23,
"Birchall, Grant",23,307,159,118,2,,,23,3,9,
"Andrews, Harris",23,219,181,132,1,1,,29,16,25,
"Daniher, Joe",24,259,117,83,46,32,49,25,30,33,
"McCarthy, Lincoln",24,183,77,123,36,15,,80,27,28,
"McInerney, Oscar",23,156,53,145,6,5,672,51,39,29,
"Starcevich, Brandon",24,216,90,82,,,,41,15,26,
